"Time","Potential","Angle","Velocity","Acceleration"
10.7276,0.522,0.00,0.000,0.00
10.7532,0.296,0.00,0.000,0.00
10.7788,0.450,0.00,0.000,0.00
10.8044,0.374,0.00,0.000,0.00
10.8300,0.380,0.00,0.000,0.00
10.8556,0.426,0.00,0.000,0.00
10.8812,0.320,0.00,0.000,0.00
10.9068,0.501,0.00,0.000,0.00
10.9324,0.271,0.00,0.000,0.00
10.9580,0.507,0.00,0.000,0.00
10.9836,0.235,0.00,0.000,0.00
11.0092,0.525,0.00,0.000,0.00
11.0348,0.250,0.00,0.000,0.00
11.0604,0.507,0.00,0.000,0.00
11.0860,0.269,0.00,0.000,0.00
11.1116,0.471,0.00,0.000,0.00
11.1372,0.335,0.00,0.000,0.00
11.1628,0.395,0.00,0.000,0.00
11.1884,0.420,0.00,0.000,0.00
11.2140,0.329,0.00,0.000,0.00
11.2396,0.459,0.00,0.000,0.00
11.2652,0.284,0.00,0.000,0.00
11.2908,0.513,0.00,0.000,0.00
11.3164,0.256,0.00,0.000,0.00
11.3420,0.528,0.00,0.000,0.00
11.3676,0.253,0.00,0.000,0.00
11.3932,0.540,0.00,0.000,0.00
11.4188,0.278,0.00,0.000,0.00
11.4444,0.495,0.00,0.000,0.00
11.4700,0.308,0.00,0.000,0.00
11.4956,0.429,0.00,0.000,0.00
11.5212,0.401,0.00,0.000,0.00
11.5468,0.368,0.00,0.000,0.00
11.5724,0.474,0.00,0.000,0.00
11.5980,0.311,0.00,0.000,0.00
11.6236,0.483,0.00,0.000,0.00
11.6492,0.259,0.00,0.000,0.00
11.6748,0.510,0.00,0.000,0.00
11.7004,0.262,0.00,0.000,0.00
11.7260,0.516,0.00,0.000,0.00
11.7516,0.259,0.00,0.000,0.00
11.7772,0.504,0.00,0.000,0.00
11.8028,0.284,0.00,0.000,0.00
11.8284,0.468,0.00,0.000,0.00
11.8540,0.374,0.00,0.000,0.00
11.8796,0.389,0.00,0.000,0.00
11.9052,0.441,0.00,0.000,0.00
11.9308,0.317,0.00,0.000,0.00
11.9564,0.483,0.00,0.000,0.00
11.9820,0.274,0.00,0.000,0.00
12.0076,0.534,0.00,0.000,0.00
12.0332,0.278,0.00,0.000,0.00
12.0588,0.534,0.00,0.000,0.00
12.0844,0.247,0.00,0.000,0.00
12.1100,0.507,0.00,0.000,0.00
12.1356,0.274,0.00,0.000,0.00
12.1612,0.486,0.00,0.000,0.00
12.1868,0.329,0.00,0.000,0.00
12.2124,0.395,0.00,0.000,0.00
12.2380,0.404,0.00,0.000,0.00
12.2636,0.329,0.00,0.000,0.00
12.2892,0.471,0.00,0.000,0.00
12.3148,0.290,0.00,0.000,0.00
12.3404,0.516,0.00,0.000,0.00
12.3660,0.244,0.00,0.000,0.00
12.3916,0.519,0.00,0.000,0.00
12.4172,0.244,0.00,0.000,0.00
12.4428,0.522,0.00,0.000,0.00
12.4684,0.262,0.00,0.000,0.00
12.4940,0.486,0.00,0.000,0.00
12.5196,0.293,0.00,0.000,0.00
12.5452,0.435,0.00,0.000,0.00
12.5708,0.380,0.00,0.000,0.00
12.5964,0.365,0.00,0.000,0.00
12.6220,0.462,0.00,0.000,0.00
12.6476,0.320,0.00,0.000,0.00
12.6732,0.501,0.00,0.000,0.00
12.6988,0.256,0.00,0.000,0.00
12.7244,0.495,0.00,0.000,0.00
12.7500,0.256,0.00,0.000,0.00
12.7756,0.501,0.00,0.000,0.00
12.8012,0.256,0.00,0.000,0.00
12.8268,0.504,0.00,0.000,0.00
12.8524,0.259,0.00,0.000,0.00
12.8780,0.444,0.00,0.000,0.00
12.9036,0.347,0.00,0.000,0.00
12.9292,0.374,0.00,0.000,0.00
12.9548,0.422,0.00,0.000,0.00
12.9804,0.308,0.00,0.000,0.00
13.0060,0.492,0.00,0.000,0.00
13.0316,0.284,0.00,0.000,0.00
13.0572,0.516,0.00,0.000,0.00
13.0828,0.256,0.00,0.000,0.00
13.1084,0.498,0.00,0.000,0.00
13.1340,0.235,0.00,0.000,0.00
13.1596,0.507,0.00,0.000,0.00
13.1852,0.262,0.00,0.000,0.00
13.2108,0.477,0.00,0.000,0.00
13.2364,0.323,0.00,0.000,0.00
13.2620,0.401,0.00,0.000,0.00
13.2876,0.398,0.00,0.000,0.00
13.3132,0.338,0.00,0.000,0.00
13.3388,0.447,0.00,0.000,0.00
13.3644,0.278,0.00,0.000,0.00
13.3900,0.498,0.00,0.000,0.00
13.4156,0.262,0.00,0.000,0.00
13.4412,0.516,0.00,0.000,0.00
13.4668,0.244,0.00,0.000,0.00
13.4924,0.519,0.00,0.000,0.00
13.5180,0.247,0.00,0.000,0.00
13.5436,0.507,0.00,0.000,0.00
13.5692,0.284,0.00,0.000,0.00
13.5948,0.444,0.00,0.000,0.00
13.6204,0.377,0.00,0.000,0.00
13.6460,0.362,0.00,0.000,0.00
13.6716,0.450,0.00,0.000,0.00
13.6972,0.302,0.00,0.000,0.00
13.7228,0.501,0.00,0.000,0.00
13.7484,0.256,0.00,0.000,0.00
13.7740,0.519,0.00,0.000,0.00
13.7996,0.244,0.00,0.000,0.00
13.8252,0.522,0.00,0.000,0.00
13.8508,0.244,0.00,0.000,0.00
13.8764,0.501,0.00,0.000,0.00
13.9020,0.269,0.00,0.000,0.00
13.9276,0.453,0.00,0.000,0.00
13.9532,0.347,0.00,0.000,0.00
13.9788,0.380,0.00,0.000,0.00
14.0044,0.422,0.00,0.000,0.00
14.0300,0.308,0.00,0.000,0.00
14.0556,0.465,0.00,0.000,0.00
14.0812,0.281,0.00,0.000,0.00
14.1068,0.510,0.00,0.000,0.00
14.1324,0.259,0.00,0.000,0.00
14.1580,0.522,0.00,0.000,0.00
14.1836,0.259,0.00,0.000,0.00
14.2092,0.495,0.00,0.000,0.00
14.2348,0.259,0.00,0.000,0.00
14.2604,0.480,0.00,0.000,0.00
14.2860,0.293,0.00,0.000,0.00
14.3116,0.410,0.00,0.000,0.00
14.3372,0.398,0.00,0.000,0.00
14.3628,0.344,0.00,0.000,0.00
14.3884,0.459,0.00,0.000,0.00
14.4140,0.296,0.00,0.000,0.00
14.4396,0.507,0.00,0.000,0.00
14.4652,0.269,0.00,0.000,0.00
14.4908,0.516,0.00,0.000,0.00
14.5164,0.253,0.00,0.000,0.00
14.5420,0.534,0.00,0.000,0.00
14.5676,0.259,0.00,0.000,0.00
14.5932,0.492,0.00,0.000,0.00
14.6188,0.302,0.00,0.000,0.00
14.6444,0.453,0.00,0.000,0.00
14.6700,0.392,0.00,0.000,0.00
14.6956,0.374,0.00,0.000,0.00
14.7212,0.444,0.00,0.000,0.00
14.7468,0.311,0.00,0.000,0.00
14.7724,0.489,0.00,0.000,0.00
14.7980,0.278,0.00,0.000,0.00
14.8236,0.522,0.00,0.000,0.00
14.8492,0.262,0.00,0.000,0.00
14.8748,0.519,0.00,0.000,0.00
14.9004,0.244,0.00,0.000,0.00
14.9260,0.498,0.00,0.000,0.00
14.9516,0.281,0.00,0.000,0.00
14.9772,0.486,0.00,0.000,0.00
15.0028,0.338,0.00,0.000,0.00
15.0284,0.389,0.00,0.000,0.00
15.0540,0.435,0.00,0.000,0.00
15.0796,0.323,0.00,0.000,0.00
15.1052,0.468,0.00,0.000,0.00
15.1308,0.290,0.00,0.000,0.00
15.1564,0.516,0.00,0.000,0.00
15.1820,0.271,0.00,0.000,0.00
15.2076,0.540,0.00,0.000,0.00
15.2332,0.274,0.00,0.000,0.00
15.2588,0.516,0.00,0.000,0.00
15.2844,0.266,0.00,0.000,0.00
15.3100,0.492,0.00,0.000,0.00
15.3356,0.311,0.00,0.000,0.00
15.3612,0.414,0.00,0.000,0.00
15.3868,0.410,0.00,0.000,0.00
15.4124,0.362,0.00,0.000,0.00
15.4380,0.471,0.00,0.000,0.00
15.4636,0.314,0.00,0.000,0.00
15.4892,0.489,0.00,0.000,0.00
15.5148,0.274,0.00,0.000,0.00
15.5404,0.516,0.00,0.000,0.00
15.5660,0.259,0.00,0.000,0.00
15.5916,0.543,0.00,0.000,0.00
15.6172,0.278,0.00,0.000,0.00
15.6428,0.513,0.00,0.000,0.00
15.6684,0.302,0.00,0.000,0.00
15.6940,0.492,0.00,0.000,0.00
15.7196,0.386,0.00,0.000,0.00
15.7452,0.404,0.00,0.000,0.00
15.7708,0.444,0.00,0.000,0.00
15.7964,0.338,0.00,0.000,0.00
15.8220,0.531,0.00,0.000,0.00
15.8476,0.278,0.00,0.000,0.00
15.8732,0.519,0.00,0.000,0.00
15.8988,0.259,0.00,0.000,0.00
15.9244,0.534,0.00,0.000,0.00
15.9500,0.256,0.00,0.000,0.00
15.9756,0.537,0.00,0.000,0.00
16.0012,0.284,0.00,0.000,0.00
16.0252,0.528,0.00,0.000,0.00
16.0508,0.284,0.00,0.000,0.00
16.0764,0.504,0.00,0.000,0.00
16.1020,0.305,0.00,0.000,0.00
16.1276,0.426,0.00,0.000,0.00
16.1532,0.420,0.00,0.000,0.00
16.1788,0.371,0.00,0.000,0.00
16.2044,0.468,0.00,0.000,0.00
16.2300,0.317,0.00,0.000,0.00
16.2556,0.504,0.00,0.000,0.00
16.2812,0.287,0.00,0.000,0.00
16.3068,0.522,0.00,0.000,0.00
16.3324,0.256,0.00,0.000,0.00
16.3580,0.522,0.00,0.000,0.00
16.3836,0.269,0.00,0.000,0.00
16.4092,0.510,0.00,0.000,0.00
16.4348,0.305,0.00,0.000,0.00
16.4604,0.471,0.00,0.000,0.00
16.4860,0.374,0.00,0.000,0.00
16.5116,0.389,0.00,0.000,0.00
