"Time","Potential","Angle","Velocity","Acceleration"
1.6448,1.598,0.00,0.000,0.00
1.6512,1.592,0.00,0.000,0.00
1.6576,1.592,0.00,0.000,0.00
1.6640,1.592,0.00,0.000,0.00
1.6704,1.595,0.00,0.000,0.00
1.6768,1.589,0.00,0.000,0.00
1.6832,1.586,0.00,0.000,0.00
1.6896,1.598,0.00,0.000,0.00
1.6960,1.595,0.00,0.000,0.00
1.7024,1.595,0.00,0.000,0.00
1.7088,1.589,0.00,0.000,0.00
1.7152,1.592,0.00,0.000,0.00
1.7216,1.595,0.00,0.000,0.00
1.7280,1.595,0.00,0.000,0.00
1.7344,1.592,0.00,0.000,0.00
1.7408,1.589,0.00,0.000,0.00
1.7472,1.595,0.00,0.000,0.00
1.7536,1.595,0.00,0.000,0.00
1.7600,1.595,0.00,0.000,0.00
1.7664,1.586,0.00,0.000,0.00
1.7728,1.595,0.00,0.000,0.00
1.7792,1.595,0.00,0.000,0.00
1.7856,1.595,0.00,0.000,0.00
1.7920,1.589,0.00,0.000,0.00
1.7984,1.595,0.00,0.000,0.00
1.8048,1.595,0.00,0.000,0.00
1.8112,1.595,0.00,0.000,0.00
1.8176,1.595,0.00,0.000,0.00
1.8240,1.586,0.00,0.000,0.00
1.8304,1.592,0.00,0.000,0.00
1.8368,1.595,0.00,0.000,0.00
1.8432,1.598,0.00,0.000,0.00
1.8496,1.586,0.00,0.000,0.00
1.8560,1.595,0.00,0.000,0.00
1.8624,1.595,0.00,0.000,0.00
1.8688,1.595,0.00,0.000,0.00
1.8752,1.592,0.00,0.000,0.00
1.8816,1.595,0.00,0.000,0.00
1.8880,1.592,0.00,0.000,0.00
1.8944,1.595,0.00,0.000,0.00
1.9008,1.592,0.00,0.000,0.00
1.9072,1.589,0.00,0.000,0.00
1.9136,1.592,0.00,0.000,0.00
1.9200,1.595,0.00,0.000,0.00
1.9264,1.598,0.00,0.000,0.00
1.9328,1.586,0.00,0.000,0.00
1.9392,1.595,0.00,0.000,0.00
1.9456,1.595,0.00,0.000,0.00
1.9520,1.595,0.00,0.000,0.00
